id,statement,facet,reversed,response
1,"Is outgoing, sociable.",Sociability,False,Sure! Here are my answers:
2,"Is compassionate, has a soft heart.",Compassion,False,
3,Tends to be disorganized.,Organization,True,1
4,"Is relaxed, handles stress well.",Anxiety,True,2
5,Has few artistic interests.,Aesthetic_Sensitivity,True,3
6,Has an assertive personality.,Assertiveness,False,4
7,"Is respectful, treats others with respect.",Respectfulness,False,5
8,Tends to be lazy.,Productiveness,True,8
9,Stays optimistic after experiencing a setback.,Depression,True,9
10,Is curious about many different things.,Intellectual_curiosity,False,10
11,Rarely feels excited or eager.,Energy level,True,11
12,Tends to find fault with others.,Trust,True,12
13,"Is dependable, steady.",Responsibility,False,13
14,"Is moody, has up and down mood swings.",Emotional Volatility,False,14
15,"Is inventive, finds clever ways to do things.",Creative Imagination,False,15
16,Tends to be quiet.,Sociability,True,16
17,Feels little sympathy for others.,Compassion,True,17
18,"Is systematic, likes to keep things in order.",Organization,False,18
19,Can be tense.,Anxiety,False,19
20,"Is fascinated by art, music, or literature.",Aesthetic_Sensitivity,False,20
21,"Is dominant, acts as a leader.",Assertiveness,False,21
22,Starts arguments with others.,Respectfulness,True,22
23,Has difficulty getting started on tasks.,Productiveness,True,23
24,"Feels secure, comfortable with self.",Depression,True,24
25,"Avoids intellectual, philosophical discussions.",Intellectual_curiosity,True,25
26,Is less active than other people.,Energy level,True,26
27,Has a forgiving nature.,Trust,False,27
28,Can be somewhat careless.,Responsibility,True,28
29,"Is emotionally stable, not easily upset.",Emotional Volatility,True,29
30,Has little creativity.,Creative Imagination,True,30
31,"Is sometimes shy, introverted.",Sociability,True,31
32,Is helpful and unselfish with others.,Compassion,False,32
33,Keeps things neat and tidy.,Organization,False,33
34,Worries a lot.,Anxiety,False,34
35,Values art and beauty.,Aesthetic_Sensitivity,False,35
36,Finds it hard to influence people.,Assertiveness,True,36
37,Is sometimes rude to others.,Respectfulness,True,37
38,"Is efficient, gets things done.",Productiveness,False,38
39,Often feels sad.,Depression,False,39
40,"Is complex, a deep thinker.",Intellectual_curiosity,False,40
41,Is full of energy.,Energy level,False,41
42,Is suspicious of others’ intentions.,Trust,True,42
43,"Is reliable, can always be counted on.",Responsibility,False,43
44,Keeps their emotions under control.,Emotional Volatility,True,44
45,Has difficulty imagining things.,Creative Imagination,True,45
46,Is talkative.,Sociability,False,46
47,Can be cold and uncaring.,Compassion,True,47
48,"Leaves a mess, doesn’t clean up.",Organization,True,48
49,Rarely feels anxious or afraid.,Anxiety,True,49
50,Thinks poetry and plays are boring.,Aesthetic_Sensitivity,True,50
51,Prefers to have others take charge.,Assertiveness,True,51
52,"Is polite, courteous to others.",Respectfulness,False,52
53,"Is persistent, works until the task is finished.",Productiveness,False,53
54,"Tends to feel depressed, blue.",Depression,False,54
55,Has little interest in abstract ideas.,Intellectual_curiosity,True,55
56,Shows a lot of enthusiasm.,Energy level,False,56
57,Assumes the best about people.,Trust,False,57
58,Sometimes behaves irresponsibly.,Responsibility,True,58
59,"Is temperamental, gets emotional easily.",Emotional Volatility,False,59
60,"Is original, comes up with new ideas",Creative Imagination,False,
